Instancia;Método;Parámetro;T. ejecución;V. total;V. solapamiento;V. 8h;V. 6h;V. tiempo muerto;V. créditos
t1.2;first;1;8;31;12;0;0;19;0
t1.2;first;1;6;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;4;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;4;31;12;0;0;19;0
t1.2;first;1;4;31;12;0;0;19;0
t1.2;first;1;4;31;12;0;0;19;0
t1.2;first;1;6;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;9;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;4;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;1;5;31;12;0;0;19;0
t1.2;first;2;4;31;12;0;0;19;0
t1.2;first;2;4;19;0;0;0;19;0
t1.2;first;2;3;31;12;0;0;19;0
t1.2;first;2;4;31;12;0;0;19;0
t1.2;first;2;2;0;0;0;0;0;0
t1.2;first;2;5;43;24;0;0;19;0
t1.2;first;2;5;19;0;0;0;19;0
t1.2;first;2;5;12;12;0;0;0;0
t1.2;first;2;3;31;12;0;0;19;0
t1.2;first;2;6;31;12;0;0;19;0
t1.2;first;2;4;31;12;0;0;19;0
t1.2;first;2;4;62;24;0;0;38;0
t1.2;first;2;6;31;12;0;0;19;0
t1.2;first;2;4;24;24;0;0;0;0
t1.2;first;2;4;19;0;0;0;19;0
t1.2;first;2;5;24;24;0;0;0;0
t1.2;first;2;4;31;12;0;0;19;0
t1.2;first;2;6;12;12;0;0;0;0
t1.2;first;2;5;31;12;0;0;19;0
t1.2;first;2;5;24;24;0;0;0;0
t1.2;first;2;3;31;12;0;0;19;0
t1.2;first;2;4;31;12;0;0;19;0
t1.2;first;2;5;0;0;0;0;0;0
t1.2;first;2;4;62;24;0;0;38;0
t1.2;first;2;3;62;24;0;0;38;0
t1.2;first;2;3;19;0;0;0;19;0
t1.2;first;2;3;31;12;0;0;19;0
t1.2;first;2;5;31;12;0;0;19;0
t1.2;first;2;5;19;0;0;0;19;0
t1.2;first;2;3;24;24;0;0;0;0
t1.2;first;2;5;31;12;0;0;19;0
t1.2;first;2;8;31;12;0;0;19;0
t1.2;first;2;6;0;0;0;0;0;0
t1.2;first;2;6;43;24;0;0;19;0
t1.2;first;2;4;67;48;0;0;19;0
t1.2;first;2;5;67;48;0;0;19;0
t1.2;first;2;5;31;12;0;0;19;0
t1.2;first;2;6;19;0;0;0;19;0
t1.2;first;2;4;31;12;0;0;19;0
t1.2;first;2;4;0;0;0;0;0;0
t1.2;first;2;4;31;12;0;0;19;0
t1.2;first;2;5;19;0;0;0;19;0
t1.2;first;2;4;0;0;0;0;0;0
t1.2;first;2;3;19;0;0;0;19;0
t1.2;first;2;3;31;12;0;0;19;0
t1.2;first;2;3;31;12;0;0;19;0
t1.2;first;2;3;31;12;0;0;19;0
t1.2;first;2;10;12;12;0;0;0;0
t1.2;first;2;5;19;0;0;0;19;0
t1.2;first;2;6;36;36;0;0;0;0
t1.2;first;3;4;12;12;0;0;0;0
t1.2;first;3;5;43;24;0;0;19;0
t1.2;first;3;4;0;0;0;0;0;0
t1.2;first;3;3;19;0;0;0;19;0
t1.2;first;3;4;55;36;0;0;19;0
t1.2;first;3;5;31;12;0;0;19;0
t1.2;first;3;3;12;12;0;0;0;0
t1.2;first;3;5;55;36;0;0;19;0
t1.2;first;3;3;31;12;0;0;19;0
t1.2;first;3;5;43;24;0;0;19;0
t1.2;first;3;4;31;12;0;0;19;0
t1.2;first;3;5;24;24;0;0;0;0
t1.2;first;3;5;55;36;0;0;19;0
t1.2;first;3;4;31;12;0;0;19;0
t1.2;first;3;4;24;24;0;0;0;0
t1.2;first;3;4;0;0;0;0;0;0
t1.2;first;3;6;31;12;0;0;19;0
t1.2;first;3;4;12;12;0;0;0;0
t1.2;first;3;4;12;12;0;0;0;0
t1.2;first;3;5;12;12;0;0;0;0
